ve_vendor_nb,ve_vendor_nm,ve_address,ve_city,ve_state,ve_zip_code,ve_country,ve_telephone
1,Realcube,16605 Mayfield Center,Cincinnati,Ohio,45233,US,1-(513)248-5877
2,Wordware,3 Duke Drive,Charleston,South Carolina,29416,US,1-(843)845-6037
3,Skinix,19 Little Fleur Way,Birmingham,Alabama,35263,US,1-(205)638-2397
4,Tavu,2743 Eastlawn Street,Houston,Texas,77030,US,1-(281)255-0028
5,Quatz,92 Orin Parkway,Santa Fe,New Mexico,87505,US,1-(505)872-5084
6,Fivechat,94153 Eliot Center,Seattle,Washington,98109,US,1-(425)518-3830
7,Oba,96140 Stang Point,Seattle,Washington,98148,US,1-(206)552-8101
8,Eimbee,7963 Garrison Pass,New Orleans,Louisiana,70142,US,1-(504)546-7291
9,Brainsphere,0988 Merry Crossing,Nashville,Tennessee,37245,US,1-(615)166-4215
10,Trudeo,53044 Upham Park,Seattle,Washington,98158,US,1-(206)361-3184
11,Trilia,18 Hoffman Point,Miami,Florida,33147,US,1-(786)556-5896
12,Jayo,421 Calypso Place,Waterbury,Connecticut,06726,US,1-(203)532-0034
13,Cogilith,7 Eagan Park,Scranton,Pennsylvania,18514,US,1-(570)796-1988
14,Eidel,713 Sheridan Drive,El Paso,Texas,88558,US,1-(915)942-8906
15,Shuffletag,33 Main Center,Bozeman,Montana,59771,US,1-(406)615-9715
16,Tazz,6 Ohio Park,Toledo,Ohio,43666,US,1-(419)614-9891
17,Jaxnation,2 Raven Pass,Homestead,Florida,33034,US,1-(786)855-1073
18,Jayo,1849 Heffernan Avenue,Cincinnati,Ohio,45271,US,1-(513)756-8424
19,Edgeblab,1 Bobwhite Center,San Diego,California,92160,US,1-(619)183-9908
20,Tavu,136 Magdeline Avenue,New Bedford,Massachusetts,02745,US,1-(508)702-1507
21,Rhynyx,607 Linden Parkway,Santa Rosa,California,95405,US,1-(707)729-6819
22,Kazu,905 Badeau Way,Pensacola,Florida,32520,US,1-(850)759-6051
23,Npath,72 Sycamore Terrace,Rochester,New York,14609,US,1-(585)375-2645
24,Midel,92 Maple Point,Prescott,Arizona,86305,US,1-(520)934-9903
25,Fivechat,554 Glacier Hill Drive,Indianapolis,Indiana,46231,US,1-(317)319-5713
