sl_sku_nb,sl_locat_id
1001,1
1002,2
1003,3
1004,4
1005,5
1006,6
1007,7
1008,8
1009,9
1010,10
1011,11
1012,12
1013,13
1014,14
1015,15
1016,16
1017,17
1018,18
1019,19
1020,20
1021,21
1022,22
1023,23
1024,24
1025,25
1026,26
1027,27
1028,28
1029,29
1030,30
1031,31
1032,32
1033,33
1034,34
1035,35
1036,36
1037,37
1038,38
1039,39
1040,40
1041,41
1042,42
1043,43
1044,44
1045,45
1046,46
1047,47
1048,48
1049,49
1050,50
1051,51
1052,52
1053,53
1054,54
1055,55
1056,56
1057,57
1058,58
1059,59
1060,60
1061,61
1062,62
1063,63
1064,64
1065,65
1066,66
1067,67
1068,68
1069,69
1070,70
1071,71
1072,72
1073,73
1074,74
1075,75
1076,76
1077,77
1078,78
1079,79
1080,80
1081,81
1082,82
1083,83
1084,84
1085,85
1086,86
1087,87
1088,88
1089,89
1090,90
1091,91
1092,92
1093,93
1094,94
1095,95
1096,96
1097,97
1098,98
1099,99
1100,100
1101,101
1102,102
1103,103
1104,104
1105,105
1106,106
1107,107
1108,108
1109,109
1110,110
1111,111
1112,112
1113,113
1114,114
1115,115
1116,116
1117,117
1118,118
1119,119
1120,120
1121,121
1122,122
1123,123
1124,124
1125,125
1126,126
1127,127
1128,128
1129,129
1130,130
1131,131
1132,132
1133,133
1134,134
1135,135
1136,136
1137,137
1138,138
1139,139
1140,140
1141,141
1142,142
1143,143
1144,144
1145,145
1146,146
1147,147
1148,148
1149,149
1150,150
1151,151
1152,152
1153,153
1154,154
1155,155
1156,156
1157,157
1158,158
1159,159
1160,160
1161,161
1162,162
1163,163
1164,164
1165,165
1166,166
1167,167
1168,168
1169,169
1170,170
1171,171
1172,172
1173,173
1174,174
1175,175
1176,176
1177,177
1178,178
1179,179
1180,180
1181,181
1182,182
1183,183
1184,184
1185,185
1186,186
1187,187
1188,188
1189,189
1190,190
1191,191
1192,192
1193,193
1194,194
1195,195
1196,196
1197,197
1198,198
1199,199
1200,200
1201,201
1202,202
1203,203
1204,204
1205,205
1206,206
1207,207
1208,208
1209,209
1210,210
1211,211
1212,212
1213,213
1214,214
1215,215
1216,216
1217,217
1218,218
1219,219
1220,220
1221,221
1222,222
1223,223
1224,224
1225,225
1226,226
1227,227
1228,228
1229,229
1230,230
1231,231
1232,232
1233,233
1234,234
1235,235
1236,236
1237,237
1238,238
1239,239
1240,240
1241,241
1242,242
1243,243
1244,244
1245,245
1246,246
1247,247
1248,248
1249,249
1250,250
1251,251
1252,252
1253,253
1254,254
1255,255
1256,256
1257,257
1258,258
1259,259
1260,260
1261,261
1262,262
1263,263
1264,264
1265,265
1266,266
1267,267
1268,268
1269,269
1270,270
1271,271
1272,272
1273,273
1274,274
1275,275
1276,276
1277,277
1278,278
1279,279
1280,280
1281,281
1282,282
1283,283
1284,284
1285,285
1286,286
1287,287
1288,288
1289,289
1290,290
1291,291
1292,292
1293,293
1294,294
1295,295
1296,296
1297,297
1298,298
1299,299
1300,300
1301,301
1302,302
1303,303
1304,304
1305,305
1306,306
1307,307
1308,308
1309,309
1310,310
1311,311
1312,312
1313,313
1314,314
1315,315
1316,316
1317,317
1318,318
1319,319
1320,320
1321,321
1322,322
1323,323
1324,324
1325,325
1326,326
1327,327
1328,328
1329,329
1330,330
1331,331
1332,332
1333,333
1334,334
1335,335
1336,336
1337,337
1338,338
1339,339
1340,340
1341,341
1342,342
1343,343
1344,344
1345,345
1346,346
1347,347
1348,348
1349,349
1350,350
